# 特殊字元 / 清理報表 — 海岸阿美語 (dialectId=3, lang_code=ami-coastal)
# 統計
{
  "total_xml": 1094,
  "valid": 1094,
  "skipped_placeholder": 0,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 299,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1094,
  "apostrophe_words": 262,
  "slash_words": 161,
  "caret_words": 3,
  "special_chars": {
    "ʼ": 193,
    "/": 161,
    "’": 69,
    "^": 3,
    ":": 3,
    ")": 2,
    "數": 2,
    "(": 2,
    "物": 1,
    "人": 1,
    "…": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 07-25	蟑螂	'dadipis/lalipis'	正式拼寫特殊字:/
[FORMAL] 07-26	蜻蜓	'facacidoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 07-27	蝴蝶	'ʼadipangpang'	正式拼寫特殊字:ʼ
[FORMAL] 07-35	蜜蜂	'odal/fafacinal'	正式拼寫特殊字:/
[FORMAL] 07-36	雄性(動物)	'’otoyan/okang'	正式拼寫特殊字:/’
[FORMAL] 07-39	蚯蚓	'ʼarikak'	正式拼寫特殊字:ʼ
[FORMAL] 07-40	動物的內臟	'tinaʼi'	正式拼寫特殊字:ʼ
[FORMAL] 07-42	蝦	'ʼafar'	正式拼寫特殊字:ʼ
[FORMAL] 07-52	麻雀	'ʼalic'	正式拼寫特殊字:ʼ
[FORMAL] 07-54	老鷹	'ʼalilis'	正式拼寫特殊字:ʼ
[FORMAL] 07-60	跳蚤	'ʼatimela'	正式拼寫特殊字:ʼ
[FORMAL] 07-62	烏鴉	'ʼanekak'	正式拼寫特殊字:ʼ
[FORMAL] 07-65	蚱蜢	'ririʼ'	正式拼寫特殊字:ʼ
[FORMAL] 08-08	柑橘	'mamiʼ'	正式拼寫特殊字:ʼ
[FORMAL] 08-12	玉米	'ʼariray'	正式拼寫特殊字:ʼ
[FORMAL] 08-13	檳榔	'ʼicep'	正式拼寫特殊字:ʼ
[FORMAL] 08-14	竹子	'ʼaol'	正式拼寫特殊字:ʼ
[FORMAL] 08-15	樹枝	'caʼang'	正式拼寫特殊字:ʼ
[FORMAL] 08-17	竹筍	'tefoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 08-18	香菇	'i’ic/faniw'	正式拼寫特殊字:/’
[FORMAL] 08-21	藤類	'ʼoway'	正式拼寫特殊字:ʼ
[FORMAL] 08-29	野百合	'caracar/riwriw'	正式拼寫特殊字:/
[FORMAL] 08-31	胡瓜	'fida’ol/kiwli'	正式拼寫特殊字:/’
[FORMAL] 08-39	豆芽	'cengoʼ no naniwac'	正式拼寫特殊字:ʼ
[FORMAL] 08-41	山藥	'kortoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 08-50	山胡椒	'ʼimoc'	正式拼寫特殊字:ʼ
[FORMAL] 08-51	樹豆	'fataʼan'	正式拼寫特殊字:ʼ
[FORMAL] 08-52	柚子	'karoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 08-53	菸草	'fingkes/tamako'	正式拼寫特殊字:/
[FORMAL] 09-01	書	'codad/hong'	正式拼寫特殊字:/
[FORMAL] 09-07	椅子	'ʼanengan'	正式拼寫特殊字:ʼ
[FORMAL] 09-15	繩索	'towaso/saso’ot'	正式拼寫特殊字:/’
[FORMAL] 09-17	木杵	'ʼasolo'	正式拼寫特殊字:ʼ
[FORMAL] 09-18	枝條	'caʼang'	正式拼寫特殊字:ʼ
[FORMAL] 09-20	小刀	'poʼot'	正式拼寫特殊字:ʼ
[FORMAL] 09-22	剪刀	'sasaʼit'	正式拼寫特殊字:ʼ
[FORMAL] 09-23	木炭	'ʼatang'	正式拼寫特殊字:ʼ
[FORMAL] 09-25	釣竿	'erid/sapacemot'	正式拼寫特殊字:/
[FORMAL] 09-30	污垢	'ʼoning'	正式拼寫特殊字:ʼ
[FORMAL] 09-35	飯鍋	'siʼoy'	正式拼寫特殊字:ʼ
[FORMAL] 09-41	鍋鏟	'sakesir/tingsi'	正式拼寫特殊字:/
[FORMAL] 09-43	夾子	'saʼatim'	正式拼寫特殊字:ʼ
[FORMAL] 09-45	梗	'ʼakaway'	正式拼寫特殊字:ʼ
[FORMAL] 09-49	炭灰	'ʼafadeng'	正式拼寫特殊字:ʼ
[FORMAL] 09-62	電視	'tilifi/tilipi'	正式拼寫特殊字:/
[FORMAL] 09-70	橡皮擦	'sararop/sasisit'	正式拼寫特殊字:/
[FORMAL] 10-03	小溪	'cieciʼ'	正式拼寫特殊字:ʼ
[FORMAL] 10-06	泥土	'sotaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 10-07	河流	'ʼalo'	正式拼寫特殊字:ʼ
[FORMAL] 10-10	縫隙	'ngalaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 10-13	土堆	'ʼapocok'	正式拼寫特殊字:ʼ
[FORMAL] 10-17	峽谷	'saʼowac'	正式拼寫特殊字:ʼ
[FORMAL] 10-19	岩石	'ʼongcoy'	正式拼寫特殊字:ʼ
[FORMAL] 10-22	崇山峻嶺	'tokotokosan/lotolotokan'	正式拼寫特殊字:/
[FORMAL] 11-01	下雨	'maʼorad'	正式拼寫特殊字:ʼ
[FORMAL] 11-05	星星	'foʼis'	正式拼寫特殊字:ʼ
[FORMAL] 11-06	雨	'ʼorad'	正式拼寫特殊字:ʼ
[FORMAL] 11-07	雪	'so’eda'	正式拼寫特殊字:’
[FORMAL] 11-11	露水	'’aresing/’o’ol'	正式拼寫特殊字:/’
[FORMAL] 11-13	煙	'’acofel /’acefel'	正式拼寫特殊字:/’
[FORMAL] 11-16	陰天	'kotem/matoemay'	正式拼寫特殊字:/
[FORMAL] 11-18	冰	'koli/so’eda'	正式拼寫特殊字:/’
[FORMAL] 11-19	地震	'lonen/’atoray'	正式拼寫特殊字:/’
[FORMAL] 11-20	影子	'ʼadingo'	正式拼寫特殊字:ʼ
[FORMAL] 11-23	水滴	'tera’ no nanom'	正式拼寫特殊字:’
[FORMAL] 11-27	秋天	'kalaloodan/kafarawrawan'	正式拼寫特殊字:/
[FORMAL] 11-29	日落	'hakakerem/piceleman no cidal'	正式拼寫特殊字:/
[FORMAL] 11-30	天黑	'toʼeman'	正式拼寫特殊字:ʼ
[FORMAL] 11-31	雨停	'saesaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 11-33	日出	'conihar/kasadakan no kidal'	正式拼寫特殊字:/
[FORMAL] 12-01	家	'lomaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 12-05	石頭	'fikeloh/fakeloh'	正式拼寫特殊字:/
[FORMAL] 12-08	工寮	'taloʼan'	正式拼寫特殊字:ʼ
[FORMAL] 12-09	廁所	'tatahengan/kamisi’an'	正式拼寫特殊字:/’
[FORMAL] 12-11	石堆	'ʼatol'	正式拼寫特殊字:ʼ
[FORMAL] 12-12	雞寮	'talalokan/pakoko’an'	正式拼寫特殊字:/’
[FORMAL] 12-13	樓梯	'tokar/kayakay'	正式拼寫特殊字:/
[FORMAL] 12-16	穀倉	'ʼariri'	正式拼寫特殊字:ʼ
[FORMAL] 12-18	搭建圍籬	'miʼadipel'	正式拼寫特殊字:ʼ
[FORMAL] 13-04	明天	'anodafak/anocila'	正式拼寫特殊字:/
[FORMAL] 13-07	白天	'romiʼad'	正式拼寫特殊字:ʼ
[FORMAL] 13-08	前天	'inaci:la'	正式拼寫特殊字::
[FORMAL] 13-10	黑暗	'toʼeman'	正式拼寫特殊字:ʼ
[FORMAL] 13-11	傍晚	'kakereman/kalafian/dadaya'	正式拼寫特殊字:/
[FORMAL] 13-15	大前天	'ici:la'	正式拼寫特殊字::
[FORMAL] 13-17	大後天	'anoci:la'	正式拼寫特殊字::
[FORMAL] 13-18	亮光	'ʼedil'	正式拼寫特殊字:ʼ
[FORMAL] 13-20	上午	'ʼayaw no lahok'	正式拼寫特殊字:ʼ
[FORMAL] 13-23	年輕時	'kalakapahan/kaemang ho'	正式拼寫特殊字:/
[FORMAL] 13-24	一下子	'cahocaho/caka pahoda'	正式拼寫特殊字:/
[FORMAL] 13-27	星期日	'paʼaliwacan'	正式拼寫特殊字:ʼ
[FORMAL] 13-29	天天	'romiʼamiʼad'	正式拼寫特殊字:ʼ
[FORMAL] 14-01	裡面	'lalomaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 14-04	前面	'kaʼayaw'	正式拼寫特殊字:ʼ
[FORMAL] 14-06	中間	'sifo’/tatenokan'	正式拼寫特殊字:/’
[FORMAL] 14-12	角落	'moco’'	正式拼寫特殊字:’
[FORMAL] 14-14	經過	'taʼelif'	正式拼寫特殊字:ʼ
[FORMAL] 15-01	鋤草	'mi’ot’ot/mikohkoh'	正式拼寫特殊字:/’
[FORMAL] 15-03	撒播	'paloma/forsak'	正式拼寫特殊字:/
[FORMAL] 15-07	鐮刀	'mamiya/kawkaw'	正式拼寫特殊字:/
[FORMAL] 15-09	倉庫	'ʼariri'	正式拼寫特殊字:ʼ
[FORMAL] 15-11	肥料	'hiliw/tayhi'	正式拼寫特殊字:/
